
#COORD
GEO

#START
B11 -77.51 336.58
NEW 48.27 242.88
RED 52.14 246.16
DOU 50.1 4.6
ASC -7.95 345.62
ASP -23.77 133.88
TEO 19.75 260.82
T20 40.18 281.62
NUR 60.5 24.65
T24 44.78 271.4
BSL 30.35 270.37
FCC 58.76 265.92
PBK 70.1 170.9
KDU -12.69 132.47
HER -34.43 19.23
DNB 74.3 339.78
CLF 48.02 2.27
FRN 37.1 240.3
SPA -90.0 0.0
SJG 18.11 293.85
ELT 29.67 34.95
MEA 54.62 246.67
BRW 71.3 203.25
BJN 74.5 19.2
T40 63.0 204.4
T16 39.19 240.2
EDM 53.3 246.7
LER 60.13 358.82
SBA -77.85 166.78
LET 49.64 247.13
GDH 69.25 306.47
TUC 32.17 249.27
MMB 43.91 144.19
AAE 9.03 38.77
AAA 43.25 76.92
DIK 73.55 80.57
FHB 62.0 310.32
GNA -31.8 116.0
IQA 63.75 291.48
AQU 42.38 13.32
MBO 14.38 343.03
VAL 51.93 349.75
KOU 2.21 307.27
FRD 38.2 282.63
EAG 64.78 218.8
M04 41.36 263.84
ARC 68.13 214.43
GAK 62.3 214.7
FYU 66.57 214.7
AIA -65.25 295.74
B22 -86.51 68.17
M08 29.44 261.39
STF 67.02 309.28
LVV 49.9 23.75
ABG 18.62 72.87
HON 21.32 202.0
ABK 68.35 18.82
IRT 52.17 104.45
SCO 70.48 338.03
STJ 47.6 307.32
MIZ 39.11 141.2
TND 1.29 124.95
CNB -35.32 149.36
ESA 39.24 141.36
ESK 55.32 356.8
SOD 67.37 26.63
QSB 33.87 35.64
MCM -77.85 166.67
VSS -22.4 316.35
NRD 81.6 343.33
THL 77.47 290.77
PST -51.7 302.11
EBR 40.82 0.49
OTT 45.4 284.45
MCQ -54.5 158.95
